CASE,POPULATION13,BCPUBLICSERVICE13,COMPLETED13,OVERALLSCOPE13,POPULATION15,BCPUBLICSERVICE15,COMPLETED15,OVERALLSCOPE15,FRINGE_FLAG13,ORGID13,ORGANIZATION13,Engagement_13,Commitment_13,Job_Satisfaction_13,Org_Satisfaction_13,ENG_STATE_13,FRINGE_FLAG15,ORGID15,ORGANIZATION15,Engagement_15,Commitment_15,Job_Satisfaction_15,Org_Satisfaction_15,ENG_STATE_15
1,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,50,50,50,50,Minimally Engaged,Core (not fringe),LOON,,16.66666667,25,25,0,Disengaged
2,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
5,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,45.83333333,62.5,75,0,Unhappily Dedicated,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged
7,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,83.33333333,75,100,75,Engaged,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged
8,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
10,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,41.66666667,50,75,0,Minimally Engaged,Core (not fringe),HERON,,NA,NA,50,25,NA
14,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,NA,NA,75,75,NA,NA,,,NA,NA,NA,NA,NA
16,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,50,50,50,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
19,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,54.16666667,37.5,75,50,Happily Detached,NA,,,NA,NA,NA,NA,NA
20,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
23,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
27,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,50,50,50,50,Minimally Engaged,Core (not fringe),HERON,,41.66666667,25,50,50,Minimally Engaged
31,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,66.66666667,50,100,50,Happily Detached,Core (not fringe),LOON,,91.66666667,100,100,75,Engaged
33,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
51,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,37.5,37.5,25,50,Disengaged,Core (not fringe),HERON,,12.5,37.5,0,0,Disengaged
60,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,100,100,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
63,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,41.66666667,50,25,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
64,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
66,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,41.66666667,50,50,25,Minimally Engaged,Core (not fringe),RAVEN,,16.66666667,25,25,0,Disengaged
68,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,100,100,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
70,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged
73,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,NA,NA,100,50,NA,Core (not fringe),HERON,,100,100,100,100,Engaged
79,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,41.66666667,50,50,25,Minimally Engaged,Core (not fringe),HERON,,33.33333333,75,25,0,Unhappily Dedicated
